RunID,RMSE,Activate B1 Overtime,Activate R1 Burnout,Activate B1.1 Duty of Care,Activate B2 Digital Health,Activate R2 Telemedicine Rework,Activate B3 Surge Resources,Activate R3 Sub-Optimal Consultations,SEIR.Activate B1.2 Aware Citizens,SEIR.Activate B1.1 Vaccination,SEIR.PAR ALPHA,SEIR.PAR GAMMA,Fatigue Onset Time,Fatigue Reporting Delay,Max Digital Health Fraction,AF Digital Health,Maximum Telemedicine Effectiveness,Minimum Telemedicine Effectiveness,AF TME,Maximum Surge Capacity Fraction,AF Labour,Minimum Preparedness Proportion,Maximum Preparedness Proportion,AF Preparedness
1,230.475071494,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.64275,0.02545,9.1585,2.2555,0.30325,0.0425,0.007125,0.1091,0.4425,0.31625,0.7515,0.01215,0.53325,0.1765
2,0.19784072488,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.75325,0.00145,7.6915,2.9665,0.03825,0.7945,0.402375,0.1149,0.4175,0.07475,0.8475,0.20265,0.82845,0.9435
3,0.00245077272191,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.54125,0.05635,4.4515,5.9365,0.49275,0.2705,0.169125,0.1935,0.6105,0.35875,0.3595,0.11625,0.30555,0.5335
4,2.96360697477e-4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.52725,0.03655,6.5665,5.7475,0.11475,0.2035,0.586875,0.0225,0.3805,0.46425,0.8725,0.05445,0.80685,0.2465
5,1291.02904962,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.95025,0.04845,8.4475,3.2635,0.20875,0.1105,0.146625,0.0593,0.7815,0.08725,0.4575,0.09075,0.17055,0.8985
6,0.0248964686677,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.78175,0.04795,8.2675,5.5225,0.23975,0.0375,0.660375,0.1431,0.5445,0.20825,0.6335,0.26235,0.00585,0.2535
7,59.73631775,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.76625,0.00295,1.9405,3.8665,0.00525,0.8635,0.219375,0.0585,0.7875,0.14525,0.0605,0.14445,0.41895,0.6785
8,0.406423175837,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.50625,0.08275,8.8165,1.7875,0.04175,0.5065,0.610125,0.1629,0.5815,0.35725,0.4925,0.10095,0.58455,0.6555
9,0.0488708963944,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.77875,0.04055,6.8095,3.4795,0.08275,0.2595,0.015375,0.0407,0.6665,0.13975,0.6035,0.10125,0.68625,0.5375
10,0.254906768949,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.75125,0.08925,5.6485,9.5905,0.28575,0.8465,0.354375,0.1265,0.7095,0.32325,0.2675,0.23295,0.44775,0.5415
11,0.109159349485,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.98875,0.06745,7.1155,8.0425,0.34325,0.6075,0.693375,0.0531,0.7125,0.31925,0.3535,0.05955,0.30105,0.5255
12,0.0435454286433,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.86675,0.00855,8.8975,2.1835,0.13225,0.6825,0.623625,0.1479,0.5955,0.40275,0.0565,0.07065,0.37035,0.3285
13,0.648327963755,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.93025,0.01505,2.6515,4.7755,0.44875,0.1615,0.453375,0.1515,0.6395,0.47675,0.2045,0.26385,0.09945,0.1885
